"","Name","prop","sex"
"1","Mary",0.0292306900522441,"female"
"2","Patricia",0.0119302121651118,"female"
"3","Linda",0.0115077101688893,"female"
"4","Barbara",0.0108961893032766,"female"
"5","Elizabeth",0.0104180905061574,"female"
"6","Jennifer",0.0103625010293025,"female"
"7","Maria",0.00920616667030305,"female"
"8","Susan",0.00882813625556447,"female"
"9","Margaret",0.00853905632783548,"female"
"10","Dorothy",0.00808319332145828,"female"
"11","Lisa",0.00782746707984223,"female"
"12","Nancy",0.00743831876973266,"female"
"13","Karen",0.0074160829789907,"female"
"14","Betty",0.00740495775957797,"female"
"15","Helen",0.00737160407346503,"female"
"16","Sandra",0.00699357365872645,"female"
"17","Donna",0.00648212117549435,"female"
"18","Carol",0.0062819844107332,"female"
"19","Ruth",0.00624863072462026,"female"
"20","Sharon",0.00580388561361404,"female"
"21","Michelle",0.0057705319275011,"female"
"22","Laura",0.00567046354512052,"female"
"23","Sarah",0.00564822775437856,"female"
"24","Kimberly",0.00560375617289464,"female"
"25","Deborah",0.00549256989514309,"female"
"26","Jessica",0.00544809098961742,"female"
"27","Shirley",0.00535914782664957,"female"
"28","Cynthia",0.00521460786278507,"female"
"29","Angela",0.00520348264337235,"female"
"30","Melissa",0.00513677527114646,"female"
"31","Brenda",0.00505894267950785,"female"
"32","Amy",0.00501447109802393,"female"
"33","Anna",0.00489216692490139,"female"
"34","Rebecca",0.00478098064714984,"female"
"35","Virginia",0.00478098064714984,"female"
"36","Kathleen",0.00471426595088221,"female"
"37","Pamela",0.00462532278791436,"female"
"38","Martha",0.00458084388238869,"female"
"39","Debra",0.00453637230090477,"female"
"40","Amanda",0.00449190071942085,"female"
"41","Stephanie",0.00444742181389518,"female"
"42","Carolyn",0.00428064605928872,"female"
"43","Christine",0.00424729237317578,"female"
"44","Marie",0.00421393136302109,"female"
"45","Janet",0.00421393136302109,"female"
"46","Catherine",0.0041472239907952,"female"
"47","Frances",0.00411387030468226,"female"
"48","Ann",0.00404715560841463,"female"
"49","Joyce",0.00404715560841463,"female"
"50","Diane",0.00399156613155973,"female"
"51","Alice",0.00396932301677602,"female"
"52","Julie",0.00386926195843719,"female"
"53","Heather",0.00374695778531466,"female"
"54","Teresa",0.00373583256590193,"female"
"55","Doris",0.00372471467053095,"female"
"56","Gloria",0.00372471467053095,"female"
"57","Evelyn",0.00358017470666645,"female"
"58","Jean",0.00350234943906959,"female"
"59","Cheryl",0.00350234943906959,"female"
"60","Mildred",0.00348010632428588,"female"
"61","Katherine",0.00348010632428588,"female"
"62","Joan",0.00340228105668901,"female"
"63","Ashley",0.00336892004653432,"female"
"64","Judith",0.00330221267430844,"female"
"65","Rose",0.00329109477893746,"female"
"66","Janice",0.00316879060581492,"female"
"67","Kelly",0.00314655481507296,"female"
"68","Nicole",0.00312431170028925,"female"
"69","Judy",0.00306872222343435,"female"
"70","Christina",0.00305760432806337,"female"
"71","Kathy",0.00302425064195043,"female"
"72","Theresa",0.00301313274657945,"female"
"73","Beverly",0.00296865384105378,"female"
"74","Denise",0.00293530015494084,"female"
"75","Tammy",0.00287970335404419,"female"
"76","Irene",0.00280187808644732,"female"
"77","Jane",0.00277964229570536,"female"
"78","Lori",0.00275739918092165,"female"
"79","Rachel",0.00269069180869577,"female"
"80","Marilyn",0.00267957391332479,"female"
"81","Andrea",0.00262397711242813,"female"
"82","Kathryn",0.00260174132168617,"female"
"83","Louise",0.00254615184483127,"female"
"84","Sara",0.00254615184483127,"female"
"85","Anne",0.00253503394946029,"female"
"86","Jacqueline",0.00253503394946029,"female"
"87","Wanda",0.00251279815871833,"female"
"88","Bonnie",0.00247943714856364,"female"
"89","Julia",0.00247943714856364,"female"
