"","token","lemma"
"1","'cause","because"
"2","'d","would"
"3","'em","them"
"4","'ll","will"
"5","'m","be"
"6","'n'","and"
"7","'til","until"
"8","'ve","have"
"9","a-bombs","a-bomb"
"10","aardvarks","aardvark"
"11","abaci","abacus"
"12","abacuses","abacus"
"13","abalones","abalone"
"14","abandoned","abandon"
"15","abandoning","abandon"
"16","abandons","abandon"
"17","abased","abase"
"18","abases","abase"
"19","abashed","abash"
"20","abashes","abash"
"21","abashing","abash"
"22","abasing","abase"
"23","abated","abate"
"24","abatements","abatement"
"25","abates","abate"
"26","abating","abate"
"27","abattoirs","abattoir"
"28","abbesses","abbess"
"29","abbeys","abbey"
"30","abbots","abbot"
"31","abbreviated","abbreviate"
"32","abbreviates","abbreviate"
"33","abbreviating","abbreviate"
"34","abbreviations","abbreviation"
"35","abcesses","abcess"
"36","abdicated","abdicate"
"37","abdicates","abdicate"
"38","abdicating","abdicate"
"39","abdications","abdication"
"40","abdomens","abdomen"
"41","abdomina","abdomen"
"42","abdominals","abdominal"
"43","abducted","abduct"
"44","abducting","abduct"
"45","abductions","abduction"
"46","abductors","abductor"
"47","abducts","abduct"
"48","aberrations","aberration"
"49","abets","abet"
"50","abetted","abet"
"51","abetting","abet"
"52","abhorred","abhor"
"53","abhorring","abhor"
"54","abhors","abhor"
"55","abided","abide"
"56","abides","abide"
"57","abiding","abide"
"58","abilities","ability"
"59","abjected","abject"
"60","abjecters","abjecter"
"61","abjecting","abject"
"62","abjects","abject"
"63","abjured","abjure"
"64","abjures","abjure"
"65","abjuring","abjure"
"66","ablated","ablate"
"67","ablates","ablate"
"68","ablating","ablate"
"69","ablations","ablation"
"70","abler","able"
"71","ablest","able"
"72","ablutions","ablution"
"73","abnormalities","abnormality"
"74","abode","abide"
"75","abodes","abode"
"76","abolished","abolish"
"77","abolishes","abolish"
"78","abolishing","abolish"
"79","abolitionists","abolitionist"
"80","abolitions","abolition"
"81","abominated","abominate"
"82","abominates","abominate"
"83","abominating","abominate"
"84","abominations","abomination"
"85","aboriginals","aboriginal"
"86","aborigines","aborigine"
"87","aborted","abort"
"88","abortifacients","abortifacient"
"89","aborting","abort"
"90","abortionists","abortionist"
"91","abortions","abortion"
"92","aborts","abort"
"93","abounded","abound"
"94","abounding","abound"
"95","abounds","abound"
"96","about-faces","about-face"
"97","about-turns","about-turn"
"98","abraded","abrade"
"99","abrades","abrade"
"100","abrading","abrade"
"101","abrasions","abrasion"
"102","abrasives","abrasive"
"103","abreactions","abreaction"
"104","abridged","abridge"
"105","abridgements","abridgement"
"106","abridges","abridge"
"107","abridging","abridge"
"108","abridgments","abridgment"
"109","abrogated","abrogate"
"110","abrogates","abrogate"
"111","abrogating","abrogate"
"112","abrogations","abrogation"
"113","abrupter","abrupt"
"114","abruptest","abrupt"
"115","abruptions","abruption"
"116","abs","ab"
"117","abscesses","abscess"
"118","abscissae","abscissa"
"119","abscissas","abscissa"
"120","absconded","abscond"
"121","absconding","abscond"
"122","absconds","abscond"
"123","abseiled","abseil"
"124","abseiling","abseil"
"125","abseils","abseil"
"126","absences","absence"
"127","absented","absent"
"128","absenteeisms","absenteeism"
"129","absentees","absentee"
"130","absenting","absent"
"131","absents","absent"
"132","absinthes","absinthe"
"133","absolutes","absolute"
"134","absolutists","absolutist"
"135","absolved","absolve"
"136","absolves","absolve"
"137","absolving","absolve"
"138","absorbances","absorbance"
"139","absorbed","absorb"
"140","absorbencies","absorbency"
"141","absorbents","absorbent"
"142","absorbers","absorber"
"143","absorbing","absorb"
"144","absorbs","absorb"
"145","absorptiometries","absorptiometry"
"146","absorptions","absorption"
"147","abstained","abstain"
"148","abstainers","abstainer"
"149","abstaining","abstain"
"150","abstains","abstain"
"151","abstentions","abstention"
"152","abstinences","abstinence"
"153","abstracted","abstract"
"154","abstracting","abstract"
"155","abstractions","abstraction"
"156","abstracts","abstract"
"157","absurdities","absurdity"
"158","abundances","abundance"
"159","abused","abuse"
"160","abusers","abuser"
"161","abuses","abuse"
"162","abusing","abuse"
"163","abutments","abutment"
"164","abuts","abut"
"165","abutted","abut"
"166","abutting","abut"
"167","abysses","abyss"
"168","acacias","acacia"
"169","academicians","academician"
"170","academics","academic"
"171","academies","academy"
"172","acanthi","acanthus"
"173","acanthuses","acanthus"
"174","acaricides","acaricide"
"175","acceded","accede"
"176","accedes","accede"
"177","acceding","accede"
"178","accelerants","accelerant"
"179","accelerated","accelerate"
"180","accelerates","accelerate"
"181","accelerating","accelerate"
"182","accelerations","acceleration"
"183","accelerators","accelerator"
"184","accelerometers","accelerometer"
"185","accented","accent"
"186","accenting","accent"
"187","accents","accent"
"188","accentuated","accentuate"
"189","accentuates","accentuate"
"190","accentuating","accentuate"
"191","accentuations","accentuation"
"192","acceptabilities","acceptability"
"193","acceptances","acceptance"
"194","acceptations","acceptation"
"195","accepted","accept"
"196","accepting","accept"
"197","acceptors","acceptor"
"198","accepts","accept"
"199","accessed","access"
"200","accesses","access"
"201","accessibilities","accessibility"
"202","accessing","access"
"203","accessioned","accession"
"204","accessioning","accession"
"205","accessions","accession"
"206","accessories","accessory"
"207","accidentals","accidental"
"208","accidents","accident"
"209","acclaimed","acclaim"
"210","acclaiming","acclaim"
"211","acclaims","acclaim"
"212","acclimated","acclimate"
"213","acclimates","acclimate"
"214","acclimating","acclimate"
"215","acclimations","acclimation"
"216","acclimatisations","acclimatisation"
"217","acclimatised","acclimatise"
"218","acclimatises","acclimatise"
"219","acclimatising","acclimatise"
"220","acclimatizations","acclimatization"
"221","acclimatized","acclimatize"
"222","acclimatizes","acclimatize"
"223","acclimatizing","acclimatize"
"224","acclivities","acclivity"
"225","accolades","accolade"
"226","accommodated","accommodate"
"227","accommodates","accommodate"
"228","accommodating","accommodate"
"229","accommodations","accommodation"
"230","accompanied","accompany"
"231","accompanies","accompany"
"232","accompaniments","accompaniment"
"233","accompanists","accompanist"
"234","accompanying","accompany"
"235","accomplices","accomplice"
"236","accomplished","accomplish"
"237","accomplishes","accomplish"
"238","accomplishing","accomplish"
"239","accomplishments","accomplishment"
"240","accorded","accord"
"241","according","accord"
"242","accordions","accordion"
"243","accords","accord"
"244","accosted","accost"
"245","accosting","accost"
"246","accosts","accost"
"247","accountabilities","accountability"
"248","accountants","accountant"
"249","accounted","account"
"250","accounting","account"
"251","accountings","accounting"
"252","accounts","account"
"253","accoutrements","accoutrement"
"254","accreditations","accreditation"
"255","accredited","accredit"
"256","accrediting","accredit"
"257","accredits","accredit"
"258","accreted","accrete"
"259","accretes","accrete"
"260","accreting","accrete"
"261","accretions","accretion"
"262","accruals","accrual"
"263","accrued","accrue"
"264","accrues","accrue"
"265","accruing","accrue"
"266","accs","acc"
"267","accumulated","accumulate"
"268","accumulates","accumulate"
"269","accumulating","accumulate"
"270","accumulations","accumulation"
"271","accumulators","accumulator"
"272","accuracies","accuracy"
"273","accusations","accusation"
"274","accusatives","accusative"
"275","accused","accuse"
"276","accusers","accuser"
"277","accuses","accuse"
"278","accusing","accuse"
"279","accustomed","accustom"
"280","accustoming","accustom"
"281","accustoms","accustom"
"282","aces","ace"
"283","acetabula","acetabulum"
"284","acetabulums","acetabulum"
"285","acetals","acetal"
"286","acetates","acetate"
"287","acetazolamides","acetazolamide"
"288","acetones","acetone"
"289","acetylations","acetylation"
"290","acetylcholines","acetylcholine"
"291","acetylcholinesterases","acetylcholinesterase"
"292","acetylenes","acetylene"
"293","acetyls","acetyl"
"294","ached","ache"
"295","aches","ache"
"296","achieved","achieve"
"297","achievements","achievement"
"298","achievers","achiever"
"299","achieves","achieve"
"300","achieving","achieve"
"301","aching","ache"
"302","achromats","achromat"
"303","acidifications","acidification"
"304","acidified","acidify"
"305","acidifies","acidify"
"306","acidifying","acidify"
"307","acidities","acidity"
"308","acidoses","acidosis"
"309","acids","acid"
"310","acknowledged","acknowledge"
"311","acknowledgements","acknowledgement"
"312","acknowledges","acknowledge"
"313","acknowledging","acknowledge"
"314","acknowledgments","acknowledgment"
"315","acks","ack"
"316","acnes","acne"
"317","acolytes","acolyte"
"318","aconites","aconite"
"319","acorns","acorn"
"320","acousticians","acoustician"
"321","acoustics","acoustic"
"322","acquaintances","acquaintance"
"323","acquaintanceships","acquaintanceship"
"324","acquainted","acquaint"
"325","acquainting","acquaint"
"326","acquaints","acquaint"
"327","acquiesced","acquiesce"
"328","acquiescences","acquiescence"
"329","acquiesces","acquiesce"
