"","x","y"
"1","abandon",-1
"2","abandoned",-1
"3","abandoning",-1
"4","abandonment",-1
"5","abandonments",-1
"6","abandons",-1
"7","abdicated",-1
"8","abdicates",-1
"9","abdicating",-1
"10","abdication",-1
"11","abdications",-1
"12","aberrant",-1
"13","aberration",-1
"14","aberrational",-1
"15","aberrations",-1
"16","abetting",-1
"17","able",1
"18","abnormal",-1
"19","abnormalities",-1
"20","abnormality",-1
"21","abnormally",-1
"22","abolish",-1
"23","abolished",-1
"24","abolishes",-1
"25","abolishing",-1
"26","abrogate",-1
"27","abrogated",-1
"28","abrogates",-1
"29","abrogating",-1
"30","abrogation",-1
"31","abrogations",-1
"32","abrupt",-1
"33","abruptly",-1
"34","abruptness",-1
"35","absence",-1
"36","absences",-1
"37","absenteeism",-1
"38","abundance",1
"39","abundant",1
"40","abuse",-1
"41","abused",-1
"42","abuses",-1
"43","abusing",-1
"44","abusive",-1
"45","abusively",-1
"46","abusiveness",-1
"47","accident",-1
"48","accidental",-1
"49","accidentally",-1
"50","accidents",-1
"51","acclaimed",1
"52","accomplish",1
"53","accomplished",1
"54","accomplishes",1
"55","accomplishing",1
"56","accomplishment",1
"57","accomplishments",1
"58","accusation",-1
"59","accusations",-1
"60","accuse",-1
"61","accused",-1
"62","accuses",-1
"63","accusing",-1
"64","achieve",1
"65","achieved",1
"66","achievement",1
"67","achievements",1
"68","achieves",1
"69","achieving",1
"70","acquiesce",-1
"71","acquiesced",-1
"72","acquiesces",-1
"73","acquiescing",-1
"74","acquit",-1
"75","acquits",-1
"76","acquittal",-1
"77","acquittals",-1
"78","acquitted",-1
"79","acquitting",-1
"80","adequately",1
"81","adulterate",-1
"82","adulterated",-1
"83","adulterating",-1
"84","adulteration",-1
"85","adulterations",-1
"86","advancement",1
"87","advancements",1
"88","advances",1
"89","advancing",1
"90","advantage",1
"91","advantaged",1
"92","advantageous",1
"93","advantageously",1
"94","advantages",1
"95","adversarial",-1
"96","adversaries",-1
"97","adversary",-1
"98","adverse",-1
"99","adversely",-1
"100","adversities",-1
"101","adversity",-1
"102","aftermath",-1
"103","aftermaths",-1
"104","against",-1
"105","aggravate",-1
"106","aggravated",-1
"107","aggravates",-1
"108","aggravating",-1
"109","aggravation",-1
"110","aggravations",-1
"111","alerted",-1
"112","alerting",-1
"113","alienate",-1
"114","alienated",-1
"115","alienates",-1
"116","alienating",-1
"117","alienation",-1
"118","alienations",-1
"119","allegation",-1
"120","allegations",-1
"121","allege",-1
"122","alleged",-1
"123","allegedly",-1
"124","alleges",-1
"125","alleging",-1
"126","alliance",1
"127","alliances",1
"128","annoy",-1
"129","annoyance",-1
"130","annoyances",-1
"131","annoyed",-1
"132","annoying",-1
"133","annoys",-1
"134","annul",-1
"135","annulled",-1
"136","annulling",-1
"137","annulment",-1
"138","annulments",-1
"139","annuls",-1
"140","anomalies",-1
"141","anomalous",-1
"142","anomalously",-1
"143","anomaly",-1
"144","anticompetitive",-1
"145","antitrust",-1
"146","argue",-1
"147","argued",-1
"148","arguing",-1
"149","argument",-1
"150","argumentative",-1
"151","arguments",-1
"152","arrearage",-1
"153","arrearages",-1
"154","arrears",-1
"155","arrest",-1
"156","arrested",-1
"157","arrests",-1
"158","artificially",-1
"159","assault",-1
"160","assaulted",-1
"161","assaulting",-1
"162","assaults",-1
"163","assertions",-1
"164","assure",1
"165","assured",1
"166","assures",1
"167","assuring",1
"168","attain",1
"169","attained",1
"170","attaining",1
"171","attainment",1
"172","attainments",1
"173","attains",1
"174","attractive",1
"175","attractiveness",1
"176","attrition",-1
"177","aversely",-1
"178","backdating",-1
"179","bad",-1
"180","bail",-1
"181","bailout",-1
"182","balk",-1
"183","balked",-1
"184","bankrupt",-1
"185","bankruptcies",-1
"186","bankruptcy",-1
"187","bankrupted",-1
"188","bankrupting",-1
"189","bankrupts",-1
"190","bans",-1
"191","barred",-1
"192","barrier",-1
"193","barriers",-1
"194","beautiful",1
"195","beautifully",1
"196","beneficial",1
"197","beneficially",1
"198","benefit",1
"199","benefited",1
"200","benefiting",1
"201","benefitted",1
"202","benefitting",1
"203","best",1
"204","better",1
"205","bolstered",1
"206","bolstering",1
"207","bolsters",1
"208","boom",1
"209","booming",1
"210","boost",1
"211","boosted",1
"212","bottleneck",-1
"213","bottlenecks",-1
"214","boycott",-1
"215","boycotted",-1
"216","boycotting",-1
"217","boycotts",-1
"218","breach",-1
"219","breached",-1
"220","breaches",-1
"221","breaching",-1
"222","break",-1
"223","breakage",-1
"224","breakages",-1
"225","breakdown",-1
"226","breakdowns",-1
"227","breaking",-1
"228","breaks",-1
"229","breakthrough",1
"230","breakthroughs",1
"231","bribe",-1
"232","bribed",-1
"233","briberies",-1
"234","bribery",-1
"235","bribes",-1
"236","bribing",-1
"237","bridge",-1
"238","brilliant",1
"239","broken",-1
"240","burden",-1
"241","burdened",-1
"242","burdening",-1
"243","burdens",-1
"244","burdensome",-1
"245","burned",-1
"246","calamities",-1
"247","calamitous",-1
"248","calamity",-1
"249","cancel",-1
"250","canceled",-1
"251","canceling",-1
"252","cancellation",-1
"253","cancellations",-1
"254","cancelled",-1
"255","cancelling",-1
"256","cancels",-1
"257","careless",-1
"258","carelessly",-1
"259","carelessness",-1
"260","catastrophe",-1
"261","catastrophes",-1
"262","catastrophic",-1
"263","catastrophically",-1
"264","caution",-1
"265","cautionary",-1
"266","cautioned",-1
"267","cautioning",-1
"268","cautions",-1
"269","cease",-1
"270","ceased",-1
"271","ceases",-1
"272","ceasing",-1
"273","censure",-1
"274","censured",-1
"275","censures",-1
"276","censuring",-1
"277","challenge",-1
"278","challenged",-1
"279","challenges",-1
"280","challenging",-1
"281","chargeoffs",-1
"282","charitable",1
"283","circumvent",-1
"284","circumvented",-1
"285","circumventing",-1
"286","circumvention",-1
"287","circumventions",-1
"288","circumvents",-1
"289","claiming",-1
"290","claims",-1
"291","clawback",-1
"292","closed",-1
"293","closeout",-1
"294","closeouts",-1
"295","closing",-1
"296","closings",-1
"297","closure",-1
"298","closures",-1
"299","coerce",-1
"300","coerced",-1
"301","coerces",-1
"302","coercing",-1
"303","coercion",-1
"304","coercive",-1
"305","collaborate",1
"306","collaborated",1
"307","collaborates",1
"308","collaborating",1
"309","collaboration",1
"310","collaborations",1
"311","collaborative",1
"312","collaborator",1
"313","collaborators",1
"314","collapse",-1
"315","collapsed",-1
"316","collapses",-1
"317","collapsing",-1
"318","collision",-1
"319","collisions",-1
"320","collude",-1
"321","colluded",-1
"322","colludes",-1
"323","colluding",-1
"324","collusion",-1
"325","collusions",-1
"326","collusive",-1
"327","complain",-1
"328","complained",-1
"329","complaining",-1
"330","complains",-1
"331","complaint",-1
"332","complaints",-1
"333","complicate",-1
"334","complicated",-1
"335","complicates",-1
"336","complicating",-1
"337","complication",-1
"338","complications",-1
"339","compliment",1
"340","complimentary",1
"341","complimented",1
"342","complimenting",1
"343","compliments",1
"344","compulsion",-1
"345","concealed",-1
"346","concealing",-1
"347","concede",-1
"348","conceded",-1
"349","concedes",-1
"350","conceding",-1
"351","concern",-1
"352","concerned",-1
"353","concerns",-1
"354","conciliating",-1
"355","conciliation",-1
"356","conciliations",-1
"357","conclusive",1
"358","conclusively",1
"359","condemn",-1
"360","condemnation",-1
"361","condemnations",-1
"362","condemned",-1
"363","condemning",-1
"364","condemns",-1
"365","condone",-1
"366","condoned",-1
"367","conducive",1
"368","confess",-1
"369","confessed",-1
"370","confesses",-1
"371","confessing",-1
"372","confession",-1
"373","confident",1
"374","confine",-1
"375","confined",-1
"376","confinement",-1
"377","confinements",-1
"378","confines",-1
"379","confining",-1
"380","confiscate",-1
"381","confiscated",-1
"382","confiscates",-1
"383","confiscating",-1
"384","confiscation",-1
"385","confiscations",-1
"386","conflict",-1
"387","conflicted",-1
"388","conflicting",-1
"389","conflicts",-1
"390","confront",-1
"391","confrontation",-1
"392","confrontational",-1
"393","confrontations",-1
"394","confronted",-1
"395","confronting",-1
"396","confronts",-1
"397","confuse",-1
"398","confused",-1
"399","confuses",-1
"400","confusing",-1
"401","confusingly",-1
"402","confusion",-1
"403","conspiracies",-1
"404","conspiracy",-1
"405","conspirator",-1
"406","conspiratorial",-1
"407","conspirators",-1
"408","conspire",-1
"409","conspired",-1
"410","conspires",-1
"411","conspiring",-1
"412","constructive",1
"413","constructively",1
"414","contempt",-1
"415","contend",-1
"416","contended",-1
"417","contending",-1
"418","contends",-1
"419","contention",-1
"420","contentions",-1
"421","contentious",-1
"422","contentiously",-1
"423","contested",-1
"424","contesting",-1
"425","contraction",-1
"426","contractions",-1
"427","contradict",-1
"428","contradicted",-1
"429","contradicting",-1
"430","contradiction",-1
"431","contradictions",-1
"432","contradictory",-1
"433","contradicts",-1
"434","contrary",-1
"435","controversial",-1
"436","controversies",-1
"437","controversy",-1
"438","convict",-1
"439","convicted",-1
"440","convicting",-1
"441","conviction",-1
"442","convictions",-1
"443","corrected",-1
"444","correcting",-1
"445","correction",-1
"446","corrections",-1
"447","corrects",-1
"448","corrupt",-1
"449","corrupted",-1
"450","corrupting",-1
"451","corruption",-1
"452","corruptions",-1
"453","corruptly",-1
"454","corruptness",-1
"455","costly",-1
"456","counterclaim",-1
"457","counterclaimed",-1
"458","counterclaiming",-1
"459","counterclaims",-1
"460","counterfeit",-1
"461","counterfeited",-1
"462","counterfeiter",-1
"463","counterfeiters",-1
"464","counterfeiting",-1
"465","counterfeits",-1
"466","countermeasure",-1
"467","countermeasures",-1
"468","courteous",1
"469","creative",1
"470","creatively",1
"471","creativeness",1
"472","creativity",1
"473","crime",-1
"474","crimes",-1
"475","criminal",-1
"476","criminally",-1
"477","criminals",-1
"478","crises",-1
"479","crisis",-1
"480","critical",-1
"481","critically",-1
"482","criticism",-1
"483","criticisms",-1
"484","criticize",-1
"485","criticized",-1
"486","criticizes",-1
"487","criticizing",-1
"488","crucial",-1
"489","crucially",-1
"490","culpability",-1
"491","culpable",-1
"492","culpably",-1
"493","cumbersome",-1
"494","curtail",-1
"495","curtailed",-1
"496","curtailing",-1
"497","curtailment",-1
"498","curtailments",-1
"499","curtails",-1
"500","cut",-1
"501","cutback",-1
"502","cutbacks",-1
"503","cyberattack",-1
"504","cyberattacks",-1
"505","cyberbullying",-1
"506","cybercrime",-1
"507","cybercrimes",-1
"508","cybercriminal",-1
"509","cybercriminals",-1
"510","damage",-1
"511","damaged",-1
"512","damages",-1
"513","damaging",-1
"514","dampen",-1
"515","dampened",-1
"516","danger",-1
"517","dangerous",-1
"518","dangerously",-1
"519","dangers",-1
"520","deadlock",-1
"521","deadlocked",-1
"522","deadlocking",-1
"523","deadlocks",-1
"524","deadweight",-1
"525","deadweights",-1
"526","debarment",-1
"527","debarments",-1
"528","debarred",-1
"529","deceased",-1
"530","deceit",-1
"531","deceitful",-1
"532","deceitfulness",-1
"533","deceive",-1
"534","deceived",-1
"535","deceives",-1
"536","deceiving",-1
"537","deception",-1
"538","deceptions",-1
"539","deceptive",-1
"540","deceptively",-1
"541","decline",-1
"542","declined",-1
"543","declines",-1
"544","declining",-1
"545","deface",-1
"546","defaced",-1
"547","defacement",-1
"548","defamation",-1
"549","defamations",-1
"550","defamatory",-1
"551","defame",-1
"552","defamed",-1
"553","defames",-1
"554","defaming",-1
"555","default",-1
"556","defaulted",-1
"557","defaulting",-1
"558","defaults",-1
"559","defeat",-1
"560","defeated",-1
"561","defeating",-1
"562","defeats",-1
"563","defect",-1
"564","defective",-1
"565","defects",-1
"566","defend",-1
"567","defendant",-1
"568","defendants",-1
"569","defended",-1
"570","defending",-1
"571","defends",-1
"572","defensive",-1
"573","defer",-1
"574","deficiencies",-1
"575","deficiency",-1
"576","deficient",-1
"577","deficit",-1
"578","deficits",-1
"579","defraud",-1
"580","defrauded",-1
"581","defrauding",-1
"582","defrauds",-1
"583","defunct",-1
"584","degradation",-1
"585","degradations",-1
"586","degrade",-1
"587","degraded",-1
"588","degrades",-1
"589","degrading",-1
"590","delay",-1
"591","delayed",-1
"592","delaying",-1
"593","delays",-1
"594","deleterious",-1
"595","deliberate",-1
"596","deliberated",-1
"597","deliberately",-1
"598","delight",1
"599","delighted",1
"600","delightful",1
"601","delightfully",1
"602","delighting",1
"603","delights",1
"604","delinquencies",-1
"605","delinquency",-1
"606","delinquent",-1
"607","delinquently",-1
"608","delinquents",-1
"609","delist",-1
"610","delisted",-1
"611","delisting",-1
"612","delists",-1
"613","demise",-1
"614","demised",-1
"615","demises",-1
"616","demising",-1
"617","demolish",-1
"618","demolished",-1
"619","demolishes",-1
"620","demolishing",-1
"621","demolition",-1
"622","demolitions",-1
"623","demote",-1
"624","demoted",-1
"625","demotes",-1
"626","demoting",-1
"627","demotion",-1
"628","demotions",-1
"629","denial",-1
"630","denials",-1
"631","denied",-1
"632","denies",-1
"633","denigrate",-1
"634","denigrated",-1
"635","denigrates",-1
"636","denigrating",-1
"637","denigration",-1
"638","deny",-1
"639","denying",-1
"640","dependability",1
"641","dependable",1
"642","deplete",-1
"643","depleted",-1
"644","depletes",-1
"645","depleting",-1
"646","depletion",-1
"647","depletions",-1
"648","deprecation",-1
"649","depress",-1
"650","depressed",-1
"651","depresses",-1
"652","depressing",-1
"653","deprivation",-1
"654","deprive",-1
"655","deprived",-1
"656","deprives",-1
"657","depriving",-1
"658","derelict",-1
"659","dereliction",-1
"660","derogatory",-1
"661","desirable",1
"662","desired",1
"663","despite",1
"664","destabilization",-1
"665","destabilize",-1
"666","destabilized",-1
"667","destabilizing",-1
"668","destined",1
"669","destroy",-1
"670","destroyed",-1
"671","destroying",-1
"672","destroys",-1
"673","destruction",-1
"674","destructive",-1
"675","detain",-1
"676","detained",-1
"677","detention",-1
"678","detentions",-1
"679","deter",-1
"680","deteriorate",-1
"681","deteriorated",-1
"682","deteriorates",-1
"683","deteriorating",-1
"684","deterioration",-1
"685","deteriorations",-1
"686","deterred",-1
"687","deterrence",-1
"688","deterrences",-1
"689","deterrent",-1
"690","deterrents",-1
"691","deterring",-1
"692","deters",-1
"693","detract",-1
"694","detracted",-1
"695","detracting",-1
"696","detriment",-1
"697","detrimental",-1
"698","detrimentally",-1
"699","detriments",-1
"700","devalue",-1
"701","devalued",-1
"702","devalues",-1
"703","devaluing",-1
"704","devastate",-1
"705","devastated",-1
"706","devastating",-1
"707","devastation",-1
"708","deviate",-1
"709","deviated",-1
"710","deviates",-1
"711","deviating",-1
"712","deviation",-1
"713","deviations",-1
