"","x"
"1","*damn"
"2","*dyke"
"3","*fuck*"
"4","*shit*"
"5","@$$"
"6","ahole"
"7","amcik"
"8","andskota"
"9","anus"
"10","arschloch"
"11","arse*"
"12","ash0le"
"13","ash0les"
"14","asholes"
"15","ass"
"16","Ass Monkey"
"17","Assface"
"18","assh0le"
"19","assh0lez"
"20","asshole"
"21","assholes"
"22","assholz"
"23","assrammer"
"24","asswipe"
"25","ayir"
"26","azzhole"
"27","b!+ch"
"28","b!tch"
"29","b00b*"
"30","b00bs"
"31","b17ch"
"32","b1tch"
"33","bassterds"
"34","bastard"
"35","bastards"
"36","bastardz"
"37","basterds"
"38","basterdz"
"39","bi+ch"
"40","bi7ch"
"41","Biatch"
"42","bitch"
"43","bitch*"
"44","bitches"
"45","Blow Job"
"46","blowjob"
"47","boffing"
"48","boiolas"
"49","bollock*"
"50","boobs"
"51","breasts"
"52","buceta"
"53","butt-pirate"
"54","butthole"
"55","buttwipe"
"56","c0ck"
"57","c0cks"
"58","c0k"
"59","cabron"
"60","Carpet Muncher"
"61","cawk"
"62","cawks"
"63","cazzo"
"64","chink"
"65","chraa"
"66","chuj"
"67","cipa"
"68","clit"
"69","Clit"
"70","clits"
"71","cnts"
"72","cntz"
"73","cock"
"74","cock-head"
"75","cock-sucker"
"76","Cock*"
"77","cockhead"
"78","cocks"
"79","CockSucker"
"80","crap"
"81","cum"
"82","cunt"
"83","cunt*"
"84","cunts"
"85","cuntz"
"86","d4mn"
"87","daygo"
"88","dego"
"89","dick"
"90","dick*"
"91","dike*"
"92","dild0"
"93","dild0s"
"94","dildo"
"95","dildos"
"96","dilld0"
"97","dilld0s"
"98","dirsa"
"99","dominatricks"
"100","dominatrics"
"101","dominatrix"
"102","dupa"
"103","dyke"
"104","dziwka"
"105","ejackulate"
"106","ejakulate"
"107","Ekrem*"
"108","Ekto"
"109","enculer"
"110","enema"
"111","f u c k"
"112","f u c k e r"
"113","faen"
"114","fag"
"115","fag*"
"116","fag1t"
"117","faget"
"118","fagg1t"
"119","faggit"
"120","faggot"
"121","fagit"
"122","fags"
"123","fagz"
"124","faig"
"125","faigs"
"126","fanculo"
"127","fanny"
"128","fart"
"129","fatass"
"130","fcuk"
"131","feces"
"132","feg"
"133","Felcher"
"134","ficken"
"135","fitt*"
"136","Flikker"
"137","flipping the bird"
"138","foreskin"
"139","Fotze"
"140","Fu(*"
"141","fuck"
"142","fucker"
"143","fuckin"
"144","fucking"
"145","fucks"
"146","Fudge Packer"
"147","fuk"
"148","fuk*"
"149","Fukah"
"150","Fuken"
"151","fuker"
"152","Fukin"
"153","Fukk"
"154","Fukkah"
"155","Fukken"
"156","Fukker"
"157","Fukkin"
"158","futkretzn"
"159","fux0r"
"160","g00k"
"161","gay"
"162","gayboy"
"163","gaygirl"
"164","gays"
"165","gayz"
"166","God-damned"
"167","gook"
"168","guiena"
"169","h00r"
"170","h0ar"
"171","h0r"
"172","h0re"
"173","h4x0r"
"174","hell"
"175","hells"
"176","helvete"
"177","hoar"
"178","hoer"
"179","hoer*"
"180","honkey"
"181","hoor"
"182","hoore"
"183","hore"
"184","Huevon"
"185","hui"
"186","injun"
"187","jackoff"
"188","jap"
"189","japs"
"190","jerk-off"
"191","jisim"
"192","jism"
"193","jiss"
"194","jizm"
"195","jizz"
"196","kanker*"
"197","kawk"
"198","kike"
"199","klootzak"
"200","knob"
"201","knobs"
"202","knobz"
"203","knulle"
"204","kraut"
"205","kuk"
"206","kuksuger"
"207","kunt"
"208","kunts"
"209","kuntz"
"210","Kurac"
"211","kurwa"
"212","kusi*"
"213","kyrpa*"
"214","l3i+ch"
"215","l3itch"
"216","lesbian"
"217","Lesbian"
"218","lesbo"
"219","Lezzian"
"220","Lipshits"
"221","Lipshitz"
"222","mamhoon"
"223","masochist"
"224","masokist"
"225","massterbait"
"226","masstrbait"
"227","masstrbate"
"228","masterbaiter"
"229","masterbat*"
"230","masterbat3"
"231","masterbate"
"232","masterbates"
"233","masturbat*"
"234","masturbate"
"235","merd*"
"236","mibun"
"237","mofo"
"238","monkleigh"
"239","Motha Fucker"
"240","Motha Fuker"
"241","Motha Fukkah"
"242","Motha Fukker"
"243","mother-fucker"
"244","Mother Fucker"
"245","Mother Fukah"
"246","Mother Fuker"
"247","Mother Fukkah"
"248","Mother Fukker"
"249","motherfucker"
"250","mouliewop"
"251","muie"
"252","mulkku"
"253","muschi"
"254","Mutha Fucker"
"255","Mutha Fukah"
"256","Mutha Fuker"
"257","Mutha Fukkah"
"258","Mutha Fukker"
"259","n1gr"
"260","nastt"
"261","nazi"
"262","nazis"
"263","nepesaurio"
"264","nigga"
"265","nigger"
"266","nigger*"
"267","nigger;"
"268","nigur;"
"269","niiger;"
"270","niigr;"
"271","nutsack"
"272","orafis"
"273","orgasim;"
"274","orgasm"
"275","orgasum"
"276","oriface"
"277","orifice"
"278","orifiss"
"279","orospu"
"280","p0rn"
"281","packi"
"282","packie"
"283","packy"
"284","paki"
"285","pakie"
"286","paky"
"287","paska*"
"288","pecker"
"289","peeenus"
"290","peeenusss"
