"","x"
"1","anal"
"2","anus"
"3","arse"
"4","ass"
"5","balls"
"6","ballsack"
"7","bastard"
"8","biatch"
"9","bitch"
"10","bloody"
"11","blow job"
"12","blowjob"
"13","bollock"
"14","bollok"
"15","boner"
"16","boob"
"17","bugger"
"18","bum"
"19","butt"
"20","buttplug"
"21","clitoris"
"22","cock"
"23","coon"
"24","crap"
"25","cunt"
"26","damn"
"27","dick"
"28","dildo"
"29","dyke"
"30","f u c k"
"31","fag"
"32","feck"
"33","felching"
"34","fellate"
"35","fellatio"
"36","flange"
"37","fuck"
"38","fudge packer"
"39","fudgepacker"
"40","God damn"
"41","Goddamn"
"42","hell"
"43","homo"
"44","jerk"
"45","jizz"
"46","knob end"
"47","knobend"
"48","labia"
"49","lmao"
"50","lmfao"
"51","muff"
"52","nigga"
"53","nigger"
"54","omg"
"55","penis"
"56","piss"
"57","poop"
"58","prick"
"59","pube"
"60","pussy"
"61","queer"
"62","s hit"
"63","scrotum"
"64","sex"
"65","sh1t"
"66","shit"
"67","slut"
"68","smegma"
"69","spunk"
"70","tit"
"71","tosser"
"72","turd"
"73","twat"
"74","vagina"
"75","wank"
"76","whore"
"77","wtf"
